#  plate  mjd fiber
5126 55923 82
5134 55868 705
5134 55868 708
5126 55923 102
5126 55923 68
5134 55868 742
5126 55923 110
5126 55923 106
5115 55885 494
5126 55923 76
5126 55923 109
5126 55923 70
5126 55923 114
5115 55885 518
5115 55885 510
5126 55923 922
5115 55885 534
5115 55885 502
5115 55885 506
5126 55923 924
5126 55923 923
5131 55835 36
5138 55830 464
5138 55830 462
5138 55830 467
5131 55835 1000
5138 55830 476
5132 55858 45
5138 55830 588
5132 55858 84
5138 55830 600
5139 55866 444
5139 55866 424
5132 55858 32
5132 55858 72
5139 55866 422
5139 55866 432
5139 55866 394
5139 55866 434
5139 55866 616
5132 55858 974
5139 55866 606
5132 55858 970
5132 55858 962
5139 55866 608
5133 55860 286
5139 55866 639
5133 55860 328
5139 55866 600
5133 55860 290
5132 55858 958
5139 55866 634
5139 55866 640
5132 55858 954
5139 55866 637
5139 55866 585
5139 55866 584
5133 55860 302
5133 55860 266
5133 55860 305
5133 55860 268
5133 55860 274
5133 55860 275
5133 55860 734
5133 55860 279
5133 55860 721
5133 55860 736
5133 55860 754
5133 55860 753
5133 55860 751
5133 55860 756
5134 55868 446
5133 55860 790
5133 55860 800
5134 55868 442
5134 55868 445
5134 55868 406
5125 55863 58
5133 55860 788
5134 55868 414
5133 55860 750
5133 55860 784
5133 55860 744
5125 55863 28
5125 55863 38
5125 55863 18
5125 55863 994
5134 55868 653
5125 55863 984
5134 55868 624
5134 55868 636
5126 55923 182
5134 55868 638
5134 55868 668
5134 55868 674
5126 55923 190
5126 55923 185
5126 55923 186
5126 55923 192
5126 55923 193
5126 55923 195
5126 55923 191
5126 55923 196
5126 55923 851
5131 55835 71
5138 55830 483
5131 55835 76
5131 55835 72
5138 55830 516
5138 55830 518
5138 55830 514
5132 55858 134
5132 55858 180
5132 55858 128
5139 55866 460
5139 55866 462
5139 55866 493
5132 55858 108
5132 55858 150
5139 55866 496
5139 55866 482
5139 55866 470
5139 55866 491
5132 55858 102
5139 55866 483
5139 55866 485
5132 55858 143
5132 55858 101
5139 55866 464
5139 55866 500
5139 55866 492
5132 55858 860
5139 55866 472
5139 55866 520
5139 55866 540
5139 55866 539
5139 55866 529
5132 55858 850
5132 55858 888
5132 55858 886
5139 55866 526
5133 55860 403
5139 55866 522
5133 55860 361
5133 55860 370
5132 55858 914
5139 55866 548
5132 55858 912
5132 55858 910
5133 55860 379
5133 55860 376
5133 55860 380
5133 55860 344
5133 55860 346
5133 55860 394
5133 55860 354
5133 55860 355
5133 55860 396
5133 55860 353
5133 55860 358
5133 55860 360
5133 55860 357
5133 55860 660
5133 55860 652
5133 55860 648
5133 55860 650
5133 55860 642
5125 55863 46
5133 55860 634
5125 55863 90
5125 55863 92
5125 55863 85
5133 55860 631
5125 55863 96
5133 55860 626
5125 55863 50
5133 55860 672
5125 55863 97
5134 55868 458
5133 55860 664
5125 55863 104
5134 55868 484
5134 55868 463
5125 55863 74
5134 55868 476
5125 55863 922
5125 55863 952
5125 55863 940
5125 55863 934
5125 55863 941
5134 55868 522
5134 55868 600
5126 55923 325
5125 55863 962
5126 55923 285
5126 55923 282
5126 55923 328
5125 55863 979
5126 55923 294
5126 55923 292
5126 55923 283
5134 55868 544
5126 55923 298
5134 55868 546
5126 55923 296
5126 55923 310
5126 55923 274
5126 55923 269
5126 55923 318
5126 55923 278
5126 55923 740
5126 55923 682
5126 55923 736
5126 55923 724
5126 55923 734
5126 55923 722
5126 55923 728
5126 55923 726
5131 55835 198
5131 55835 150
5131 55835 184
5131 55835 860
5131 55835 852
5131 55835 160
5131 55835 142
5131 55835 900
5131 55835 846
5131 55835 892
5131 55835 884
5132 55858 294
5132 55858 284
5131 55835 876
5132 55858 254
5132 55858 260
5132 55858 216
5132 55858 244
5132 55858 242
5132 55858 214
5131 55835 870
5131 55835 903
5132 55858 265
5132 55858 226
5132 55858 222
5132 55858 273
5132 55858 232
5132 55858 271
5132 55858 272
5132 55858 230
5132 55858 278
5132 55858 772
5132 55858 774
5132 55858 770
5132 55858 809
5132 55858 768
5132 55858 808
5132 55858 802
5132 55858 793
5132 55858 803
5132 55858 800
5132 55858 824
5132 55858 838
5132 55858 798
5132 55858 792
5133 55860 444
5133 55860 446
5133 55860 421
5133 55860 434
5133 55860 432
5133 55860 476
5124 55894 16
5133 55860 437
5133 55860 537
5133 55860 572
5133 55860 532
5133 55860 538
5133 55860 540
5133 55860 526
5125 55863 202
5133 55860 564
5133 55860 530
5125 55863 161
5125 55863 204
5133 55860 598
5133 55860 600
5133 55860 594
5125 55863 178
5125 55863 215
5133 55860 591
5133 55860 590
5125 55863 132
5133 55860 588
5125 55863 168
5125 55863 210
5125 55863 180
5125 55863 142
5125 55863 147
5125 55863 151
5125 55863 150
5125 55863 148
5125 55863 152
5125 55863 156
5125 55863 154
5125 55863 157
5134 55868 492
5125 55863 894
5125 55863 900
5125 55863 860
5125 55863 842
5125 55863 886
5125 55863 890
5125 55863 850
5134 55868 502
5134 55868 506
5125 55863 844
5125 55863 884
5125 55863 874
5125 55863 888
5125 55863 910
5126 55923 372
5126 55923 415
5126 55923 385
5126 55923 381
5126 55923 383
5126 55923 392
5126 55923 390
5126 55923 393
5126 55923 658
5126 55923 651
5126 55923 654
5126 55923 660
5131 55835 226
5131 55835 224
5131 55835 262
5131 55835 230
5131 55835 770
5131 55835 780
5131 55835 764
5132 55858 362
5131 55835 768
5131 55835 756
5132 55858 372
5131 55835 784
5131 55835 788
5132 55858 698
5132 55858 700
5132 55858 697
5132 55858 726
5132 55858 682
5132 55858 710
5124 55894 92
5124 55894 98
5132 55858 714
5124 55894 100
5132 55858 708
5124 55894 66
5132 55858 706
5132 55858 670
5124 55894 65
5132 55858 676
5124 55894 70
5124 55894 74
5124 55894 72
5133 55860 482
5124 55894 29
5133 55860 488
5124 55894 78
5133 55860 491
5133 55860 496
5124 55894 972
5124 55894 968
5124 55894 964
5125 55863 282
5125 55863 328
5125 55863 286
5125 55863 281
5125 55863 305
5125 55863 257
5125 55863 224
5125 55863 264
5125 55863 308
5125 55863 266
5125 55863 240
5125 55863 278
5125 55863 234
5125 55863 780
5125 55863 734
5125 55863 280
5125 55863 239
5125 55863 772
5125 55863 774
5125 55863 778
5125 55863 767
5125 55863 740
5125 55863 768
5125 55863 805
5125 55863 762
5125 55863 804
5125 55863 766
5125 55863 756
5125 55863 788
5126 55923 448
5125 55863 790
5120 55895 6
5125 55863 782
5125 55863 824
5126 55923 466
5120 55895 13
5120 55895 27
5120 55895 12
5120 55895 10
5120 55895 994
5120 55895 18
5120 55895 988
5120 55895 20
5126 55923 578
5120 55895 838
5120 55895 840
5120 55895 846
5120 55895 880
5120 55895 850
5120 55895 886
5120 55895 922
5120 55895 921
5120 55895 982
5120 55895 990
5120 55895 996
5126 55923 568
5126 55923 804
5126 55923 814
5126 55923 812
5126 55923 810
5126 55923 974
5126 55923 972
5126 55923 978
5115 55885 538
5115 55885 579
5126 55923 14
5115 55885 580
5115 55885 440
5115 55885 610
5115 55885 480
5115 55885 400
5115 55885 398
5115 55885 360
5115 55885 358
5115 55885 320
5115 55885 276
5115 55885 270
5115 55885 232
5115 55885 196
5115 55885 198
5115 55885 150
5115 55885 190
5115 55885 192
5115 55885 188
5115 55885 112
5115 55885 116
5115 55885 114
5115 55885 74
5107 55940 464
5115 55885 76
5115 55885 78
5115 55885 72
5107 55940 422
5107 55940 382
5115 55885 6
5107 55940 346
5107 55940 344
5107 55940 305
5107 55940 307
5107 55940 304
5107 55940 302
5107 55940 262
5107 55940 182
5107 55940 102
5109 55892 384
5109 55892 314
5109 55892 253
5109 55892 192
5116 55857 943
5109 55892 122
5108 55888 628
5108 55888 760
5108 55888 848
5108 55888 847
5111 55840 528
5111 55840 650
5111 55840 778
5113 55924 354
5113 55924 142
5113 55924 82
5126 55923 797
5126 55923 860
5126 55923 888
5115 55885 568
5126 55923 986
5115 55885 604
5115 55885 644
5115 55885 650
5115 55885 724
5115 55885 770
5115 55885 766
5115 55885 774
5115 55885 844
5115 55885 850
5115 55885 856
5115 55885 852
5107 55940 512
5107 55940 538
5115 55885 932
5107 55940 480
5107 55940 540
5115 55885 922
5115 55885 934
5107 55940 534
5107 55940 468
5115 55885 938
5107 55940 574
5107 55940 580
5115 55885 936
5115 55885 937
5115 55885 940
5107 55940 578
5115 55885 958
5115 55885 956
5107 55940 396
5107 55940 398
5115 55885 996
5115 55885 986
5107 55940 392
5107 55940 358
5115 55885 1000
5107 55940 360
5107 55940 320
5107 55940 354
5107 55940 312
5107 55940 196
5107 55940 189
5107 55940 194
5107 55940 184
5107 55940 150
5107 55940 148
5107 55940 116
5107 55940 72
5107 55940 24
5109 55892 446
5109 55892 408
5107 55940 26
5116 55857 806
5109 55892 402
5109 55892 364
5109 55892 362
5109 55892 291
5109 55892 324
5109 55892 260
5109 55892 284
5108 55888 544
5109 55892 178
5109 55892 169
5109 55892 131
5108 55888 582
5108 55888 629
5108 55888 746
5112 55895 430
5112 55895 427
5108 55888 828
5108 55888 876
5112 55895 428
5112 55895 383
5112 55895 346
5112 55895 355
5112 55895 310
5108 55888 967
5112 55895 245
5112 55895 242
5112 55895 246
5111 55840 555
5111 55840 533
5111 55840 569
5112 55895 232
5112 55895 190
5112 55895 168
5111 55840 632
5111 55840 643
5111 55840 654
5112 55895 84
5111 55840 674
5111 55840 696
5111 55840 724
5111 55840 768
5111 55840 808
5111 55840 846
5111 55840 812
5111 55840 810
5111 55840 848
5111 55840 882
5111 55840 890
5113 55924 512
5111 55840 936
5113 55924 526
5113 55924 520
5111 55840 940
5111 55840 968
5113 55924 536
5111 55840 980
5111 55840 973
5113 55924 569
5113 55924 617
5113 55924 616
5111 55840 1000
5113 55924 650
5113 55924 738
5113 55924 726
5113 55924 730
5113 55924 776
5113 55924 778
5113 55924 200
5113 55924 814
5113 55924 854
5113 55924 858
5113 55924 892
5113 55924 100
5113 55924 72
5115 55885 758
5115 55885 802
5115 55885 842
5115 55885 828
5115 55885 846
5115 55885 832
5107 55940 502
5115 55885 888
5107 55940 521
5115 55885 882
5115 55885 928
5107 55940 533
5107 55940 568
5115 55885 921
5107 55940 606
5107 55940 562
5107 55940 570
5107 55940 604
5107 55940 642
5107 55940 602
5115 55885 952
5115 55885 982
5115 55885 945
5107 55940 611
5107 55940 650
5107 55940 648
5107 55940 645
5115 55885 988
5107 55940 654
5107 55940 684
5107 55940 766
5107 55940 812
5107 55940 854
5107 55940 890
5107 55940 856
5109 55892 490
5109 55892 536
5107 55940 898
5109 55892 511
5107 55940 938
5109 55892 534
5107 55940 932
5109 55892 577
5107 55940 980
5107 55940 40
5109 55892 332
5109 55892 374
5109 55892 376
5109 55892 289
5109 55892 297
5109 55892 282
5109 55892 216
5109 55892 218
5109 55892 152
5109 55892 154
5109 55892 151
5109 55892 150
5109 55892 144
5109 55892 24
5108 55888 702
5109 55892 30
5109 55892 70
5109 55892 38
5108 55888 704
5108 55888 742
5109 55892 29
5112 55895 488
5109 55892 4
5112 55895 465
5112 55895 464
5112 55895 462
5108 55888 822
5112 55895 444
5112 55895 400
5112 55895 416
5112 55895 402
5108 55888 864
5112 55895 405
5108 55888 966
5112 55895 362
5112 55895 366
5112 55895 317
5112 55895 324
5112 55895 283
5112 55895 200
5112 55895 199
5112 55895 240
5112 55895 196
5111 55840 588
5112 55895 176
5112 55895 96
5112 55895 94
5111 55840 712
5111 55840 758
5112 55895 54
5111 55840 839
5111 55840 797
5111 55840 787
5111 55840 838
5111 55840 868
5111 55840 877
5114 55883 448
5111 55840 918
5114 55883 444
5113 55924 548
5113 55924 560
5113 55924 558
5114 55883 405
5114 55883 363
5113 55924 592
5111 55840 984
5113 55924 640
5114 55883 298
5114 55883 243
5113 55924 724
5114 55883 209
5113 55924 762
5114 55883 122
5113 55924 847
5113 55924 802
5113 55924 810
5113 55924 843
5113 55924 846
5113 55924 844
5113 55924 934
5113 55924 898
5113 55924 926
5113 55924 925
5113 55924 996
5113 55924 998
5107 55940 760
5107 55940 794
5107 55940 792
5107 55940 838
5107 55940 840
5107 55940 848
5107 55940 842
5107 55940 850
5107 55940 920
5109 55892 528
5107 55940 964
5109 55892 608
5109 55892 564
5109 55892 610
5109 55892 612
5109 55892 616
5109 55892 690
5109 55892 648
5109 55892 692
5109 55892 740
5109 55892 688
5109 55892 681
5109 55892 722
5109 55892 894
5109 55892 852
5109 55892 938
5109 55892 977
5109 55892 998
5112 55895 539
5112 55895 480
5112 55895 652
5112 55895 458
5112 55895 454
5112 55895 420
5112 55895 380
5112 55895 408
5112 55895 336
5112 55895 300
5112 55895 334
5112 55895 288
5112 55895 292
5112 55895 112
5112 55895 110
5112 55895 109
5111 55840 745
5112 55895 28
5112 55895 30
5111 55840 782
5112 55895 4
5112 55895 6
5114 55883 482
5111 55840 862
5114 55883 462
5114 55883 487
5114 55883 450
5111 55840 908
5114 55883 338
5113 55924 584
5113 55924 631
5114 55883 334
5113 55924 636
5113 55924 624
5114 55883 246
5114 55883 258
5114 55883 252
5113 55924 708
5113 55924 758
5113 55924 799
5114 55883 140
5113 55924 834
5114 55883 86
5113 55924 837
5114 55883 87
5114 55883 42
5113 55924 912
5113 55924 932
5113 55924 914
5109 55892 836
5109 55892 845
5109 55892 849
5109 55892 884
5109 55892 924
5112 55895 515
5112 55895 508
5112 55895 509
5109 55892 973
5109 55892 971
5112 55895 524
5112 55895 532
5112 55895 694
5112 55895 685
5112 55895 696
5112 55895 699
5112 55895 736
5112 55895 776
5112 55895 842
5112 55895 896
5112 55895 895
5112 55895 938
5112 55895 976
5112 55895 18
5114 55883 490
5114 55883 478
5114 55883 422
5114 55883 392
5114 55883 390
5114 55883 303
5114 55883 308
5114 55883 278
5114 55883 264
5113 55924 676
5114 55883 239
5114 55883 186
5114 55883 184
5113 55924 750
5113 55924 746
5113 55924 782
5114 55883 132
5114 55883 141
5114 55883 146
5114 55883 108
5113 55924 832
5114 55883 138
5114 55883 100
5114 55883 52
5109 55892 874
5109 55892 920
5109 55892 902
5109 55892 916
5112 55895 760
5112 55895 758
5112 55895 840
5112 55895 878
5112 55895 883
5112 55895 908
5112 55895 922
5112 55895 964
5112 55895 987
5114 55883 538
5114 55883 540
5114 55883 620
5114 55883 694
5114 55883 696
5114 55883 698
5114 55883 318
5114 55883 225
5114 55883 183
5114 55883 149
5109 55892 168
5108 55888 548
5108 55888 541
5108 55888 840
